"Left";"Hand";;"Right";"Hand"
"x";"y";;"x";"y"
88;53;;526;403
79;63;;524;391
83;59;;542;409
83;43;;521;404
83.25;54.5;;528.25;401.75
;;;;
;;;;
445;347.25;;;
1.0595238095;1.0595238095;;;
;;;;
"Center";;;;
305.75;228.125;;;
